ID,Smiles,Erythrocyte-3D7 (IC50 - uM),Erythrocyte-3D7 pIC50
MMV1903497,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)N3CCN(CC3)C(=O)Nc4ccc(c(c4)Cl)Cl,3.6,5.443697499
MMV1903498,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)N3CCN(CC3)C(=O)Nc4ccc(c(c4)C(F)(F)F)Cl,2.97,5.527243551
MMV1903499,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)N3CCN(CC3)C(=O)Nc4ccc(cc4)OC(F)(F)F,1.39,5.8569852
MMV1903500,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)N3CCN(CC3)C(=O)Nc4cc(cc(c4)Cl)Cl,2.29,5.640164518
MMV1919845,Clc1cc(C(=O)Nc2cc(Cl)ccc2)cnc1c3cc(N4CCNCC4)ncc3,2.6,5.585026652
MMV1919814,Clc1cc(C(=O)Nc2cc(Cl)ccc2)cnc1c3cc(N4CCN(C(OC(C)(C)C)=O)CC4)ncc3,13.1,4.882728704
MMV1919620,N1(CCN(c2ccncc2)CC1)c3cnc(C(=O)Nc4cc(Cl)ccc4)cc3Cl,3.55,5.449771647
MMV1900174,c1nc(c(cc1C(NC2CCN(CC2)Cc3ccccc3)=O)Cl)N4CCN(c5ccncc5)CC4,0.367,6.435333936
MMV1900175,c1nc(c(cc1C(=O)Nc2cccc(CC)c2)Cl)N3CCN(c4ccncc4)CC3,0.69,6.161150909
MMV1900177,c1[nH]ncc1c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4,4.77,5.321481621
MMV1900178,Clc(cccc1c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)c1,4.04,5.393618635
MMV1900325,c1cc(C#N)cc(CCN2c(ncc3C(Nc4cccc(c4)Cl)=O)c(c3)Cl)c1C2,6.49,5.187755303
MMV1900412,n1cc(cc(c1N(C2)CC2c3ccncc3)Cl)C(=O)Nc4cc(Cl)ccc4,7.86,5.104577454
MMV1900436,C(COCC1)C1N(CCN2c(ncc3C(=O)Nc4cccc(Cl)c4)c(Cl)c3)CC2,25,4.602059991
MMV1900641,c1c(c(ncc1C(=O)Nc2cccc(Cl)c2)N3CCN(c4cnncc4)CC3)Cl,4.1,5.387216143
MMV1900642,C1CN(CCN1c2ncc(cc2Cl)CC(Nc3cccc(Cl)c3)=O)c4ccncc4,1.36,5.866461092
MMV1900865,O=C(Nc(cnc1N2CCN(c3c(C)cccc3)CC2)cn1)C4CC4,2.46,5.609064893
MMV1900928,C1C(CCN1c2ncc(cc2Cl)C(Nc3cccc(Cl)c3)=O)N4CCCCC4,4.01,5.396855627
MMV1900929,c1cnccc1Oc2ncc(cc2Cl)C(Nc3cccc(Cl)c3)=O,25,4.602059991
