UMAP1,UMAP2,Source
3.5804687,4.399594,molmim
-1.961928,-0.60795283,molmim
-3.7470968,-2.464564,molmim
-2.22835,-0.24109004,molmim
0.8269249,3.259935,molmim
3.656654,3.2649155,molmim
4.4966793,4.4062634,molmim
-3.400899,-1.3581008,molmim
-3.8412282,0.7752449,molmim
-3.2825282,-1.480446,molmim
4.531809,1.7943771,molmim
4.675762,3.296312,molmim
4.404105,3.9626255,molmim
4.546399,-1.2581408,molmim
4.029921,3.8643186,molmim
4.6712847,3.644242,molmim
5.2763815,2.1585045,molmim
5.2641153,2.4995134,molmim
5.1509876,2.413049,molmim
5.2805166,2.6643019,molmim
5.334238,2.157025,molmim
5.1625924,2.582583,molmim
4.322592,3.6289463,molmim
3.9373295,3.1501758,molmim
4.541316,3.345541,molmim
5.594547,3.5369341,molmim
6.252988,1.9926953,molmim
6.3125978,1.956629,molmim
5.7546034,2.2928224,molmim
5.8955755,2.2827044,molmim
5.6541142,2.3652413,molmim
5.4649634,2.8398564,molmim
5.8594193,2.2616055,molmim
6.4148154,3.5289738,molmim
5.202545,6.650022,molmim
5.202527,6.478294,molmim
5.194246,6.2827935,molmim
3.5176053,3.6767187,molmim
5.1529627,6.4907746,molmim
6.443843,4.1712527,molmim
4.426988,5.243288,molmim
-2.8373199,-0.52859277,molmim
-2.786085,-0.4275927,molmim
4.024633,4.495632,molmim
-2.9300506,-0.49478307,molmim
3.9170403,3.513696,molmim
-3.2305262,-0.6724981,molmim
4.096479,3.7929595,molmim
3.5881922,3.730924,molmim
3.7717192,3.6290379,molmim
5.122917,2.8427331,molmim
3.3382335,3.9751937,molmim
4.7074823,2.316702,molmim
5.419769,2.6254976,molmim
5.3616586,2.977415,molmim
5.46309,2.614725,molmim
5.394479,2.890961,molmim
5.4948897,4.196183,molmim
-3.726288,-1.7133284,molmim
-2.5589335,-0.48751363,molmim
3.65569,3.7260187,molmim
2.1214643,3.3443787,molmim
4.219365,3.2971103,molmim
3.8679144,4.1444407,molmim
3.9474745,2.5855498,molmim
4.112008,2.2004566,molmim
4.7182274,3.1395416,molmim
5.2744927,3.2640214,molmim
-2.859072,-0.8772288,molmim
-2.7478995,-0.7339506,molmim
2.9797,3.896881,molmim
-2.0628328,-0.24343391,molmim
3.8644924,3.0078743,molmim
3.4765282,4.411158,molmim
6.06437,3.8332322,molmim
6.364778,4.0821013,molmim
5.2372236,3.1037946,molmim
4.6203403,-1.4291866,molmim
4.5132823,-1.7889912,molmim
5.336941,2.3011818,molmim
5.576473,3.4817758,molmim
4.6819286,2.7493064,molmim
4.7411118,2.7522929,molmim
3.1148648,4.5787797,molmim
3.1735544,4.5396075,molmim
3.1884763,4.6444993,molmim
3.2342238,4.565102,molmim
3.3525217,4.345679,molmim
3.4907005,4.1857815,molmim
3.6132066,3.8027923,molmim
4.158641,4.68797,molmim
4.8121247,2.779927,molmim
4.6497393,6.8205466,molmim
4.298502,6.1452928,molmim
4.1213326,4.4131055,molmim
4.1499333,6.686307,molmim
4.052667,6.6005177,molmim
4.1416793,5.9694486,molmim
4.1797085,6.632787,molmim
4.5731077,6.442754,molmim
4.9144206,5.3528395,molmim
4.3330717,3.9086382,molmim
8.134774,4.5983806,molmim
8.176059,4.614796,molmim
8.071652,4.577365,molmim
7.883745,4.589337,molmim
8.056058,4.7182364,molmim
7.7191434,4.5205154,molmim
7.9970512,4.5296082,molmim
7.347893,4.2675047,molmim
4.152295,6.883098,molmim
4.233201,6.246893,molmim
4.2139807,6.246397,molmim
4.192053,6.288017,molmim
4.223064,6.6488566,molmim
4.161928,6.5943494,molmim
4.9406548,5.3201623,molmim
5.325108,2.3884904,molmim
4.247537,4.151116,molmim
8.858076,2.8671908,molmim
8.627118,2.7443328,molmim
8.595065,2.7973695,molmim
8.353919,2.7866864,molmim
8.133178,2.7400692,molmim
5.0506835,2.5405266,molmim
5.059533,2.588144,molmim
6.2294493,1.8726549,molmim
4.3252716,3.0180035,molmim
5.034787,3.1167343,molmim
4.9561086,3.2230284,molmim
4.857909,3.3454614,molmim
4.830485,3.3534467,molmim
5.437716,3.3356907,molmim
4.6961155,3.463554,molmim
4.142512,3.9298286,molmim
6.981717,4.6878767,molmim
7.0035005,4.6202283,molmim
5.141478,4.3026347,molmim
-2.6495423,-0.4181468,molmim
-3.0676935,-0.65195274,molmim
3.190726,3.729494,molmim
-2.962683,-0.44776207,molmim
-3.1894276,-0.6608208,molmim
3.2587433,3.4372723,molmim
5.5126367,2.7541819,molmim
5.5683494,2.87564,molmim
5.7737393,2.7763433,molmim
5.8626256,2.6756039,molmim
5.5000334,2.772741,molmim
5.1838136,2.545856,molmim
6.055983,3.2867236,molmim
4.277691,2.534636,molmim
3.8606148,3.4551046,molmim
5.258265,2.4502432,molmim
5.3553305,1.9813534,molmim
5.171594,2.279096,molmim
5.6506796,3.3506763,molmim
5.31187,2.4738548,molmim
4.809921,3.969345,molmim
5.4106956,3.0037267,molmim
5.139809,2.6479385,molmim
5.2713394,5.0530415,molmim
5.1890807,5.057656,molmim
5.073524,5.4530506,molmim
5.1865997,4.961594,molmim
6.4868817,4.178081,molmim
5.3070765,4.944638,molmim
5.050018,4.6808925,molmim
5.072755,6.1721344,molmim
4.1468463,3.9012673,molmim
7.0508585,4.164206,molmim
7.3259935,4.1299524,molmim
7.026071,4.0916767,molmim
7.172076,4.080652,molmim
7.167124,4.0525293,molmim
5.969769,4.272691,molmim
5.4749584,4.550483,molmim
7.025739,4.0976324,molmim
6.600761,3.9733107,molmim
-3.226839,-0.77815443,molmim
-3.486375,-0.6946353,molmim
2.7293408,3.384616,molmim
2.0697134,3.407693,molmim
-2.2064583,-0.092524596,molmim
4.0185013,4.599495,molmim
-2.3508494,-0.22123605,molmim
2.30224,3.5116615,molmim
-3.2427666,-0.7238039,molmim
4.0791483,2.8511922,molmim
1.4937474,3.3075154,molmim
5.1249,4.9333224,molmim
2.541181,3.510199,molmim
3.8688965,4.047714,molmim
3.8760035,3.9638731,molmim
2.8473687,3.6843433,molmim
2.6758895,3.559802,molmim
2.9708772,3.5054984,molmim
3.6842117,4.0916104,molmim
2.8496575,3.64761,molmim
3.065643,3.5053427,molmim
2.822706,3.5387332,molmim
2.949363,3.489648,molmim
3.0082667,3.6952872,molmim
4.4792895,2.987513,molmim
4.0064325,3.3473198,molmim
4.5431495,3.9896398,molmim
